Code ,Description ,Index ,Violent/Property 
01A ,HOMICIDE – 1ST OR 2ND DEGREE (INDEX) ,INDEX ,VIOLENT INDEX 
01B ,INVOLUNTARY MANSLAUGHTER / RECKLESS HOMICIDE W/ VEHICLE ,NON-INDEX ,NON-INDEX 
02 ,CRIMINAL SEXUAL ASSAULT (INDEX) ,INDEX ,VIOLENT INDEX 
03 ,ROBBERY (INDEX) ,INDEX ,VIOLENT INDEX 
04 ,AGGRAVATED ASSAULT / BATTERY (INDEX) ,INDEX ,VIOLENT INDEX 
04A ,AGGRAVATED ASSAULT (INDEX) ,INDEX ,VIOLENT INDEX 
04B ,AGGRAVATED BATTERY (INDEX) ,INDEX ,VIOLENT INDEX 
05 ,BURGLARY (INDEX) ,INDEX ,PROPERTY INDEX 
06 ,LARCENY – THEFT (INDEX) ,INDEX ,PROPERTY INDEX 
07 ,MOTOR VEHICLE THEFT (INDEX) ,INDEX ,PROPERTY INDEX 
08 ,SIMPLE ASSAULT / BATTERY ,NON-INDEX ,NON-INDEX 
08A ,SIMPLE ASSAULT ,NON-INDEX ,NON-INDEX 
08B ,SIMPLE BATTERY ,NON-INDEX ,NON-INDEX 
09 ,ARSON (INDEX) ,INDEX ,PROPERTY INDEX 
10 ,FORGERY AND COUNTERFEITING ,NON-INDEX ,NON-INDEX 
11 ,FRAUD ,NON-INDEX ,NON-INDEX 
12 ,EMBEZZLEMENT ,NON-INDEX ,NON-INDEX 
13 ,"STOLEN PROPERTY: BUY, RECEIVE, POSSESS ",NON-INDEX ,NON-INDEX 
14 ,VANDALISM ,NON-INDEX ,NON-INDEX 
15 ,WEAPONS ,NON-INDEX ,NON-INDEX 
16 ,PROSTITUTION ,NON-INDEX ,NON-INDEX 
17 ,SEX OFFENSE – CRIMINAL SEXUAL ABUSE ,NON-INDEX ,NON-INDEX 
18 ,DRUG ABUSE VIOLATIONS ,NON-INDEX ,NON-INDEX 
19 ,GAMBLING ,NON-INDEX ,NON-INDEX 
20 ,OFFENSES AGAINST FAMILY AND CHILDREN / INVOLVING CHILDREN ,NON-INDEX ,NON-INDEX 
21 ,DRIVING UNDER THE INFLUENCE ,NON-INDEX ,NON-INDEX 
22 ,LIQUOR LAWS ,NON-INDEX ,NON-INDEX 
24 ,DISORDERLY CONDUCT ,NON-INDEX ,NON-INDEX 
26 ,MISCELLANEOUS NON-INDEX OFFENSES ,NON-INDEX ,NON-INDEX 
MCC ,MISCELLANEOUS MUNICIPAL CODE VIOLATIONS ,MCC ,MCC 
TRF ,TRAFFIC VIOLATIONS ,TRF ,TRF 
WRT ,WARRANT ARRESTS ,WRT ,WRT 
00 ,NON-CRIMINAL ,NON-CRIMINAL ,NON-CRIMINAL 
