IUCR,PRIMARY_DESCRIPTION,SECONDARY_DESCRIPTION
110,HOMICIDE,FIRST DEGREE MURDER
130,HOMICIDE,SECOND DEGREE MURDER
141,HOMICIDE,INVOLUNTARY MANSLAUGHTER
142,HOMICIDE,RECKLESS HOMICIDE
261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN
262,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM
263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT
264,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON
265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER
266,CRIMINAL SEXUAL ASSAULT,PREDATORY
271,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN
272,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER FIREARM
273,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT
274,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON
275,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER
281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED
291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED
312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT
313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON
031A,ROBBERY,ARMED - HANDGUN
031B,ROBBERY,ARMED - OTHER FIREARM
320,ROBBERY,STRONG ARM - NO WEAPON
325,ROBBERY,VEHICULAR HIJACKING
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING
330,ROBBERY,AGGRAVATED
331,ROBBERY,ATTEMPT AGGRAVATED
334,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT
337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON
033A,ROBBERY,ATTEMPT ARMED - HANDGUN
033B,ROBBERY,ATTEMPT ARMED - OTHER FIREARM
340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON
041A,BATTERY,AGGRAVATED - HANDGUN
041B,BATTERY,AGGRAVATED - OTHER FIREARM
420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT
430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON
440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY"
450,BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN
451,BATTERY,AGGRAVATED POLICE OFFICER - OTHER FIREARM
